Serial_No,Date(%y-%m-%d),District,Crop,N(kg/ha),P(kg/ha),K(kg/ha),pH,Rainfall(mm),Temperature(°C),Humidity(%),Market_Price(INR/kg),Yield(kg/ha),Total_Market_Price(INR/ha)
1294,2025-02-08,Namakkal,Rice,112,56,104,6.1,1441,23,73,87.91,3240.0,284828.4
1295,2025-01-30,Pudukkottai,Cotton,101,67,90,7.4,1095,30,74,181.66,1930.0,350603.8
1296,2025-01-16,Theni,Watermelon,154,74,129,7.1,1545,33,77,75.71,16440.0,1244672.4
1297,2025-02-11,Trichy,Pumpkin,114,63,67,6.0,981,28,75,24.0,23140.0,555360.0
1298,2025-02-04,Thanjavur,Wheat,120,53,77,6.5,648,21,59,94.33,6870.0,648047.1
1299,2025-01-14,Villupuram,Apple,127,66,118,6.4,1143,26,73,108.98,14780.0,1610724.4
1300,2025-02-11,Villupuram,Groundnut,61,48,58,6.9,432,23,71,61.73,1740.0,107410.2
1301,2025-01-07,Nagapattinam,Groundnut,57,49,78,6.6,869,25,79,20.81,1250.0,26012.5
1302,2025-01-31,Perambalur,Peas,85,65,79,6.4,999,24,73,121.67,4490.0,546298.3
1303,2025-01-17,Theni,Cotton,89,44,89,6.6,759,29,88,111.89,2640.0,295389.6
1304,2025-01-20,Kallakurichi,Apple,150,87,99,6.2,1058,28,71,46.03,7830.0,360414.9
1305,2025-01-18,Perambalur,Banana,189,84,144,7.0,1372,28,80,17.77,28240.0,501824.8
1306,2025-01-14,Villupuram,Cauliflower,111,70,83,6.6,998,22,88,119.49,6670.0,796998.3
1307,2025-01-05,Thoothukudi,Watermelon,136,95,129,7.2,1667,34,79,10.85,10300.0,111755.0
1308,2025-02-14,Tiruvallur,Wheat,127,55,83,7.4,500,21,89,134.01,6690.0,896526.9
1309,2025-01-08,Trichy,Tapioca,127,38,66,7.4,1456,29,70,12.81,17190.0,220203.9
1310,2025-02-18,Ariyalur,Pumpkin,117,59,79,6.3,1248,33,68,194.99,23300.0,4543267.0
1311,2025-02-03,Thoothukudi,Banana,196,104,157,7.5,1505,32,84,65.59,35750.0,2344842.5
1312,2025-01-31,Tirupur,Peas,125,63,100,7.3,711,22,73,72.14,6190.0,446546.6
1313,2025-01-30,Salem,Brinjal,129,77,80,7.0,885,30,90,155.41,6800.0,1056788.0
1314,2025-02-07,Palladam,Wheat,105,65,63,6.3,787,20,60,129.78,3760.0,487972.8
1315,2025-01-01,Cuddalore,Banana,185,96,139,7.0,1244,32,86,22.98,26170.0,601386.6
1316,2025-01-21,Namakkal,Maize,157,80,127,7.4,811,30,90,116.99,7710.0,901992.9
1317,2025-02-04,Tiruvallur,Peas,90,45,96,7.4,888,21,78,144.21,4760.0,686439.6
1318,2025-01-14,Chennai,Rice,101,50,80,5.8,1126,23,51,178.38,2710.0,483409.8
1319,2025-02-10,Madurai,Watermelon,120,70,112,7.4,1411,30,52,42.4,9340.0,396016.0
1320,2025-02-06,Krishnagiri,Brinjal,104,58,64,6.5,937,30,83,89.04,9130.0,812935.2
1321,2025-02-01,Cuddalore,Cabbage,122,77,94,6.5,753,22,55,78.05,3090.0,241174.5
1322,2025-02-14,Namakkal,Apple,151,60,120,6.6,881,30,54,41.1,10460.0,429906.0
1323,2025-01-21,Thanjavur,Wheat,100,40,80,7.5,508,24,89,157.73,6640.0,1047327.2
1324,2025-01-20,Vellore,Chili,106,80,109,7.0,1015,27,88,67.71,3490.0,236307.9
1325,2025-01-20,Coimbatore,Chickpea,75,38,55,7.3,962,21,54,70.2,2930.0,205686.0
1326,2025-01-11,Ramanathapuram,Pumpkin,115,41,69,6.1,1011,31,72,24.99,21500.0,537285.0
1327,2025-01-27,Theni,Sugarcane,172,71,130,7.5,1507,32,83,125.87,96140.0,12101141.8
1328,2025-01-21,Sivaganga,Wheat,103,42,67,6.2,877,20,90,107.1,4970.0,532287.0
1329,2025-01-31,Cuddalore,Tomato,134,75,114,6.7,983,21,50,61.93,8320.0,515257.6
1330,2025-01-21,Ariyalur,Tomato,163,73,103,6.7,917,20,60,193.18,8040.0,1553167.2
1331,2025-02-06,Villupuram,Peas,105,47,94,6.6,1042,24,80,105.04,6170.0,648096.8
1332,2025-02-17,Kanyakumari,Tomato,154,73,121,6.6,1145,23,66,155.21,8540.0,1325493.4
1333,2025-01-17,Thoothukudi,Groundnut,93,32,78,7.3,433,27,63,195.88,1600.0,313408.0
1334,2025-02-06,Sankagiri,Banana,171,94,138,7.1,1218,32,72,39.43,39930.0,1574439.9
1335,2025-02-13,Tiruvannamalai,Mango,134,63,70,7.0,987,26,63,192.7,29710.0,5725117.0
1336,2025-01-11,Cuddalore,Ginger,114,32,77,6.7,1481,28,69,14.22,4730.0,67260.6
1337,2025-02-17,Vellore,Rice,109,57,111,6.4,1416,22,69,84.09,3560.0,299360.4
1338,2025-01-05,Namakkal,Sugarcane,186,86,140,6.9,1670,30,86,32.79,81410.0,2669433.9
1339,2025-01-25,Kanyakumari,Tapioca,105,51,79,7.3,1169,29,60,143.03,28280.0,4044888.4
1340,2025-01-18,Thanjavur,Banana,177,89,150,6.7,1519,28,80,89.06,24130.0,2149017.8
1341,2025-01-25,Nagapattinam,Tapioca,113,49,74,6.9,1432,28,57,130.8,29540.0,3863832.0
1342,2025-01-31,Krishnagiri,Cauliflower,110,53,77,6.6,890,22,58,145.19,4440.0,644643.6
1343,2025-01-20,Villupuram,Cabbage,122,62,113,6.5,955,20,72,38.23,4110.0,157125.3
1344,2025-01-18,Pudukkottai,Cauliflower,102,71,96,7.0,1045,18,86,58.11,6940.0,403283.4
1345,2025-01-06,Ooty,Groundnut,55,32,58,7.1,633,25,72,169.77,1240.0,210514.8
1346,2025-01-25,Kallakurichi,Wheat,104,47,99,7.2,551,21,79,93.96,4790.0,450068.4
1347,2025-02-09,Theni,Chili,129,69,83,6.7,1177,30,55,58.85,2460.0,144771.0
1348,2025-01-14,Tiruvannamalai,Chili,138,77,84,7.3,1290,28,68,148.59,2120.0,315010.8
1349,2025-01-27,Karur,Carrot,66,65,62,6.6,599,21,82,59.1,8030.0,474573.0
1350,2025-01-07,Virdhunagar,Brinjal,130,53,73,6.6,961,27,89,123.8,8050.0,996590.0
1351,2025-01-31,Thanjavur,Banana,186,88,128,7.3,1363,31,55,138.74,38790.0,5381724.6
1352,2025-01-05,Erode,Rice,146,75,100,7.1,1061,26,81,63.56,4520.0,287291.2
1353,2025-01-04,Ramanathapuram,Sugarcane,195,77,133,7.1,1568,32,88,190.96,55740.0,10644110.4
1354,2025-01-08,Madurai,Mango,141,62,86,7.0,1236,25,69,87.08,13360.0,1163388.8
1355,2025-01-13,Ramanathapuram,Groundnut,99,56,56,6.7,422,26,69,85.93,1960.0,168422.8
1356,2025-01-27,Erode,Rice,124,73,90,5.5,1220,25,61,48.48,2990.0,144955.2
1357,2025-01-13,Nagapattinam,Carrot,81,48,77,7.5,568,19,57,98.5,11160.0,1099260.0
1358,2025-02-02,Nagapattinam,Brinjal,98,67,94,6.1,881,30,80,191.36,7670.0,1467731.2
1359,2025-01-22,Erode,Brinjal,114,77,74,7.5,930,26,63,112.09,13140.0,1472862.6
1360,2025-01-23,Erode,Cabbage,149,71,97,6.4,1128,18,55,58.35,5530.0,322675.5
1361,2025-01-08,Krishnagiri,Cotton,80,40,71,6.8,636,27,85,77.24,2220.0,171472.8
1362,2025-01-25,Salem,Groundnut,66,42,43,7.3,722,23,53,191.5,1050.0,201075.0
1363,2025-01-28,Virdhunagar,Groundnut,97,30,50,6.7,606,25,80,185.7,1920.0,356544.0
1364,2025-01-05,Salem,Chili,149,81,119,7.0,859,27,54,119.74,3010.0,360417.4
1365,2025-02-14,Chennai,Apple,154,83,121,6.1,1223,26,56,128.55,13180.0,1694289.0
1366,2025-01-19,Trichy,Peas,112,53,74,6.6,985,25,51,29.17,7440.0,217024.8
1367,2025-01-27,Salem,Carrot,74,64,76,7.3,805,20,83,52.61,11090.0,583444.9
1368,2025-01-01,Salem,Wheat,120,47,79,7.2,957,20,52,168.8,5650.0,953720.0
1369,2025-01-17,Ramanathapuram,Cabbage,164,79,85,7.1,950,23,86,166.78,3420.0,570387.6
1370,2025-02-03,Ramanathapuram,Apple,139,66,110,6.7,1273,29,84,167.93,14820.0,2488722.6
1371,2025-01-30,Tirupur,Ginger,107,57,65,6.0,1508,32,67,18.53,7630.0,141383.9
1372,2025-02-12,Kanchipuram,Peas,93,46,89,6.5,843,25,83,70.17,4870.0,341727.9
1373,2025-02-02,Tirupur,Rice,114,62,116,5.8,1453,23,60,74.29,5730.0,425681.7
1374,2025-02-06,Sankagiri,Soybean,103,63,60,6.9,604,28,79,92.66,1720.0,159375.2
1375,2025-01-31,Krishnagiri,Peas,82,53,100,6.6,690,21,61,171.05,9440.0,1614712.0
1376,2025-01-05,Krishnagiri,Soybean,102,42,61,7.3,932,27,67,97.24,1680.0,163363.2
1377,2025-01-19,Tiruvannamalai,Groundnut,54,55,46,7.4,680,23,61,167.5,1670.0,279725.0
1378,2025-02-15,Pudukkottai,Banana,183,82,157,6.9,1210,28,59,111.89,20530.0,2297101.7
1379,2025-01-29,Ooty,Carrot,69,56,85,7.4,555,19,55,160.82,8110.0,1304250.2
1380,2025-02-17,Virdhunagar,Chili,100,63,116,6.0,802,25,76,79.1,3680.0,291088.0
1381,2025-01-23,Cuddalore,Cauliflower,130,58,88,6.2,1013,19,70,71.98,5160.0,371416.8
1382,2025-01-22,Erode,Cauliflower,113,53,90,7.4,887,19,72,124.74,6120.0,763408.8
1383,2025-01-23,Thanjavur,Chili,144,74,114,6.1,1210,29,72,174.4,2940.0,512736.0
1384,2025-02-03,Kallakurichi,Groundnut,83,31,65,6.6,542,25,82,40.85,1350.0,55147.5
1385,2025-01-18,Erode,Chili,101,65,117,6.1,913,29,60,35.14,2760.0,96986.4
1386,2025-01-23,Ariyalur,Soybean,114,63,78,6.8,956,24,50,124.24,2890.0,359053.6
1387,2025-01-05,Villupuram,Brinjal,119,70,96,6.2,1045,28,85,83.46,13770.0,1149244.2
1388,2025-01-19,Madurai,Brinjal,108,76,71,6.0,1180,26,72,89.9,13570.0,1219943.0
1389,2025-02-03,Kanyakumari,Tapioca,125,34,91,6.5,1156,28,89,98.96,20290.0,2007898.4
1390,2025-02-11,Thoothukudi,Rice,133,77,89,6.4,1469,27,70,151.58,5840.0,885227.2
1391,2025-01-10,Nagapattinam,Cauliflower,142,60,70,6.6,894,19,89,17.96,5200.0,93392.0
1392,2025-02-01,Chennai,Cabbage,139,74,107,7.4,750,18,90,71.4,4900.0,349860.0
1393,2025-01-03,Thanjavur,Chickpea,80,46,74,6.7,992,25,60,43.33,5840.0,253047.2
1394,2025-01-12,Erode,Tapioca,93,46,74,6.2,1050,28,58,57.21,28810.0,1648220.1
1395,2025-02-14,Sankagiri,Ginger,114,48,90,6.7,1301,31,81,161.37,4440.0,716482.8
1396,2025-01-06,Ooty,Pumpkin,105,59,100,6.5,1278,31,67,12.48,19820.0,247353.6
1397,2025-01-29,Ramanathapuram,Soybean,133,61,89,7.1,724,24,55,179.72,2630.0,472663.6
1398,2025-01-10,Sivaganga,Wheat,90,55,84,7.4,552,20,57,88.51,4130.0,365546.3
1399,2025-01-15,Kanyakumari,Lemon,115,78,79,7.1,1429,29,76,39.95,19270.0,769836.5
1400,2025-01-01,Cuddalore,Onion,103,62,86,6.1,750,20,74,102.85,15230.0,1566405.5
1401,2025-01-28,Thanjavur,Apple,126,76,102,6.8,1017,30,88,176.12,9200.0,1620304.0
1402,2025-02-03,Virdhunagar,Maize,164,86,104,6.0,940,25,83,196.44,6830.0,1341685.2
1403,2025-01-08,Ariyalur,Ginger,102,36,82,6.4,1676,28,63,182.09,4940.0,899524.6
1404,2025-02-02,Thanjavur,Brinjal,96,50,91,7.2,1004,29,83,138.99,9070.0,1260639.3
1405,2025-01-31,Salem,Maize,142,65,127,6.7,1087,29,51,96.71,7490.0,724357.9
1406,2025-01-25,Kanyakumari,Wheat,80,70,70,6.9,679,20,55,126.24,4840.0,611001.6
1407,2025-01-01,Kallakurichi,Chili,145,73,115,6.7,886,26,85,177.07,2220.0,393095.4
1408,2025-02-06,Thoothukudi,Cotton,98,51,67,7.1,718,29,58,10.17,2690.0,27357.3
1409,2025-01-24,Pudukkottai,Sugarcane,200,88,159,6.7,1540,33,74,177.38,85010.0,15079073.8
1410,2025-01-11,Tirupur,Tapioca,121,40,76,7.0,1405,28,75,91.61,15410.0,1411710.1
1411,2025-01-31,Sivaganga,Chickpea,107,46,46,7.4,806,25,74,19.76,4240.0,83782.4
1412,2025-02-08,Ramanathapuram,Ginger,96,48,83,6.8,1474,32,87,49.39,4800.0,237072.0
1413,2025-01-13,Erode,Groundnut,57,39,64,6.0,401,25,78,148.91,950.0,141464.5
1414,2025-01-23,Coimbatore,Soybean,92,69,76,6.8,822,27,76,145.2,2910.0,422532.0
1415,2025-02-10,Pudukkottai,Maize,125,78,117,6.1,839,28,70,152.67,4980.0,760296.6
1416,2025-01-25,Ariyalur,Lemon,110,68,110,7.2,1217,25,75,95.14,10640.0,1012289.6
1417,2025-01-04,Chennai,Cauliflower,115,62,86,6.8,1055,20,90,117.46,7890.0,926759.4
1418,2025-02-06,Virdhunagar,Tomato,166,100,104,6.6,1096,25,77,160.49,6090.0,977384.1
1419,2025-02-05,Pudukkottai,Cotton,122,54,84,7.2,1042,26,82,100.52,2070.0,208076.4
1420,2025-01-08,Thanjavur,Peas,87,47,96,6.6,920,24,85,182.93,4440.0,812209.2
1421,2025-01-05,Palladam,Mango,143,71,91,6.7,981,26,77,152.58,12730.0,1942343.4
1422,2025-01-27,Sankagiri,Apple,110,83,118,6.6,1246,25,67,125.88,12270.0,1544547.6
1423,2025-01-26,Ariyalur,Tomato,129,97,100,6.8,814,22,55,185.24,7410.0,1372628.4
1424,2025-02-16,Villupuram,Tomato,170,86,135,6.6,1127,21,52,52.32,9860.0,515875.2
1425,2025-02-16,Chennai,Watermelon,146,97,125,6.6,1677,32,71,73.38,14280.0,1047866.4
1426,2025-02-15,Tiruvallur,Onion,93,69,88,7.3,774,21,81,90.85,17550.0,1594417.5
1427,2025-01-27,Chennai,Mango,119,68,98,7.5,1108,30,83,26.52,14330.0,380031.6
1428,2025-01-05,Thanjavur,Mango,119,52,83,7.0,869,26,54,183.15,24830.0,4547614.5
1429,2025-01-26,Perambalur,Rice,105,67,83,5.8,1479,26,87,40.52,2970.0,120344.4
1430,2025-02-07,Thoothukudi,Rice,103,76,107,5.6,1124,22,74,142.15,2120.0,301358.0
1431,2025-02-02,Ramanathapuram,Maize,126,65,104,6.2,844,29,63,50.09,4340.0,217390.6
1432,2025-01-30,Nagapattinam,Peas,84,70,78,7.1,945,20,90,94.98,7170.0,681006.6
1433,2025-01-07,Vellore,Sugarcane,175,87,150,6.5,1765,31,83,67.39,68280.0,4601389.2
1434,2025-01-27,Krishnagiri,Chili,130,69,114,6.4,1077,28,67,70.59,2140.0,151062.6
1435,2025-02-03,Kanyakumari,Ginger,72,54,59,6.3,1412,33,50,38.44,6590.0,253319.6
1436,2025-02-14,Kallakurichi,Mango,144,79,101,6.8,1168,25,75,168.64,24980.0,4212627.2
1437,2025-01-27,Kanyakumari,Brinjal,112,52,67,6.6,1159,28,76,114.45,10300.0,1178835.0
1438,2025-01-06,Thoothukudi,Chili,112,75,111,6.1,1263,28,64,85.03,2960.0,251688.8
1439,2025-01-21,Nagapattinam,Ginger,75,49,83,6.4,1470,32,61,107.67,7970.0,858129.9
1440,2025-02-15,Coimbatore,Rice,132,79,107,6.8,1177,27,52,173.47,2110.0,366021.7
1441,2025-01-06,Theni,Mango,138,58,100,7.3,1133,27,82,68.91,17000.0,1171470.0
1442,2025-01-19,Ariyalur,Onion,109,79,85,7.3,999,21,52,103.4,13310.0,1376254.0
1443,2025-02-13,Palladam,Watermelon,167,71,100,7.3,1611,35,87,58.38,12110.0,706981.8
1444,2025-01-20,Tirunelveli,Pumpkin,110,62,97,6.4,1195,29,59,49.26,13340.0,657128.4
1445,2025-01-28,Palladam,Apple,116,82,90,7.2,853,28,64,36.21,14830.0,536994.3
1446,2025-01-25,Villupuram,Wheat,91,67,82,6.3,917,21,78,134.92,6590.0,889122.8
1447,2025-01-16,Dindigul,Soybean,136,45,65,7.3,696,29,50,115.84,3320.0,384588.8
1448,2025-02-13,Cuddalore,Brinjal,106,72,73,7.1,810,30,74,161.2,11790.0,1900548.0
1449,2025-01-08,Tirunelveli,Tapioca,122,44,76,7.0,1318,27,71,181.84,26040.0,4735113.6
1450,2025-02-12,Vellore,Banana,173,105,121,6.7,1315,30,60,23.58,23450.0,552951.0
1451,2025-02-04,Krishnagiri,Rice,138,74,112,7.5,1298,24,50,135.73,4630.0,628429.9
1452,2025-01-16,Ooty,Ginger,91,57,53,6.5,1669,28,72,52.93,4030.0,213307.9
1453,2025-01-22,Kanchipuram,Tapioca,90,60,98,7.4,1332,27,78,120.38,23970.0,2885508.6
1454,2025-02-06,Ooty,Sugarcane,189,100,151,6.6,1527,33,71,96.35,56680.0,5461118.0
1455,2025-01-08,Krishnagiri,Wheat,84,66,100,6.4,672,22,67,112.57,6210.0,699059.7
1456,2025-01-19,Perambalur,Apple,154,84,124,6.1,863,26,60,112.73,8640.0,973987.2
1457,2025-01-03,Tiruvannamalai,Tapioca,107,33,77,6.9,1252,27,68,187.36,20460.0,3833385.6
1458,2025-01-16,Kallakurichi,Watermelon,139,87,103,7.3,1377,31,61,38.62,14130.0,545700.6
1459,2025-02-17,Palladam,Wheat,117,63,80,6.2,956,21,52,56.9,4150.0,236135.0
1460,2025-02-02,Madurai,Tomato,151,75,109,6.6,1139,21,76,109.02,7860.0,856897.2
1461,2025-01-18,Thoothukudi,Maize,161,72,107,6.8,984,25,81,90.85,4910.0,446073.5
1462,2025-02-14,Ooty,Ginger,116,37,57,6.3,1341,31,70,56.92,6960.0,396163.2
1463,2025-02-05,Kallakurichi,Cotton,118,53,72,6.9,887,29,71,29.18,1950.0,56901.0
1464,2025-02-04,Ooty,Cabbage,143,70,107,6.1,929,18,65,161.06,3250.0,523445.0
1465,2025-02-09,Perambalur,Tapioca,97,58,68,7.3,1125,27,54,13.96,24460.0,341461.6
1466,2025-02-18,Namakkal,Apple,142,70,108,6.2,1284,27,90,114.79,7410.0,850593.9
1467,2025-01-18,Coimbatore,Soybean,131,63,97,7.0,889,25,84,146.43,1530.0,224037.9
1468,2025-02-07,Kallakurichi,Groundnut,90,56,57,7.2,422,25,66,148.43,1270.0,188506.1
1469,2025-02-15,Sankagiri,Chickpea,104,38,70,6.4,692,23,51,118.18,4400.0,519992.0
1470,2025-02-09,Tiruvallur,Banana,162,91,148,6.8,1224,31,68,96.09,22080.0,2121667.2
1471,2025-02-04,Namakkal,Lemon,114,64,77,7.1,1250,26,73,193.59,8660.0,1676489.4
1472,2025-02-18,Cuddalore,Tapioca,90,48,87,7.4,1087,29,88,146.43,15900.0,2328237.0
1473,2025-02-16,Nagapattinam,Sugarcane,170,77,130,7.3,1651,30,52,59.09,63880.0,3774669.2
1474,2025-02-10,Erode,Brinjal,126,54,66,6.2,1101,28,50,41.41,6450.0,267094.5
1475,2025-01-27,Tirunelveli,Chili,123,80,85,6.3,899,28,65,152.98,3090.0,472708.2
1476,2025-02-10,Erode,Rice,100,73,93,6.1,1279,23,58,147.51,5980.0,882109.8
1477,2025-01-19,Sivaganga,Chickpea,79,47,66,7.1,616,23,72,121.74,2580.0,314089.2
1478,2025-02-18,Pudukkottai,Groundnut,66,50,70,7.3,458,27,77,22.52,1190.0,26798.8
1479,2025-01-10,Villupuram,Pumpkin,120,44,61,7.0,823,29,90,97.29,14950.0,1454485.5
1480,2025-02-15,Kanchipuram,Peas,97,65,87,6.9,792,23,86,32.94,4430.0,145924.2
1481,2025-01-09,Trichy,Sugarcane,159,94,125,6.6,1681,28,83,90.34,57870.0,5227975.8
1482,2025-02-14,Kallakurichi,Mango,101,76,106,6.9,864,26,50,11.76,14150.0,166404.0
1483,2025-01-07,Thoothukudi,Mango,141,60,99,6.6,1085,30,90,73.13,12770.0,933870.1
1484,2025-01-04,Erode,Ginger,113,49,89,6.1,1465,30,71,21.61,4830.0,104376.3
1485,2025-02-07,Tiruvannamalai,Brinjal,131,59,99,6.2,1144,28,66,153.06,6600.0,1010196.0
1486,2025-02-12,Salem,Cauliflower,136,78,84,7.1,777,21,62,129.03,5050.0,651601.5
1487,2025-02-05,Chennai,Wheat,124,56,87,7.4,998,24,66,176.1,4960.0,873456.0
1488,2025-01-15,Tirupur,Rice,131,77,120,6.5,1001,26,80,182.42,3010.0,549084.2
1489,2025-02-06,Sankagiri,Wheat,105,69,66,6.8,987,23,72,39.08,4730.0,184848.4
1490,2025-02-07,Tiruvallur,Lemon,124,72,71,6.9,1240,30,63,172.1,13980.0,2405958.0
1491,2025-01-13,Villupuram,Brinjal,138,54,82,6.8,1058,28,73,191.33,8340.0,1595692.2
1492,2025-02-04,Krishnagiri,Peas,107,45,71,7.2,1088,22,72,198.54,7420.0,1473166.8
1493,2025-01-31,Ariyalur,Onion,129,56,74,6.8,904,23,77,63.89,12610.0,805652.9
1494,2025-01-16,Vellore,Brinjal,122,68,74,6.7,834,28,78,82.56,14970.0,1235923.2
1495,2025-02-17,Virdhunagar,Sugarcane,195,74,126,6.9,1590,32,53,38.39,90930.0,3490802.7
1496,2025-01-25,Nagapattinam,Carrot,64,50,57,6.9,916,23,50,27.0,8890.0,240030.0
1497,2025-02-11,Namakkal,Maize,140,74,135,7.2,855,28,63,108.78,5980.0,650504.4
1498,2025-01-04,Virdhunagar,Cabbage,127,60,108,7.0,1118,22,86,42.62,3040.0,129564.8
1499,2025-01-31,Namakkal,Watermelon,123,81,122,7.3,1509,34,79,27.81,20000.0,556200.0
1500,2025-01-28,Sivaganga,Peas,100,50,97,6.4,954,21,62,37.95,8580.0,325611.0
1501,2025-01-23,Nagapattinam,Carrot,106,53,63,6.9,682,23,64,106.4,8060.0,857584.0
1502,2025-02-07,Ariyalur,Rice,137,63,81,7.1,1387,26,58,151.61,3370.0,510925.7
1503,2025-01-29,Thoothukudi,Cauliflower,147,57,71,6.1,825,21,75,76.44,5560.0,425006.4
1504,2025-01-26,Salem,Brinjal,128,80,94,7.0,1161,28,63,105.75,13050.0,1380037.5
1505,2025-01-22,Nagapattinam,Peas,88,42,71,6.0,718,25,79,65.17,8000.0,521360.0
1506,2025-02-15,Tirupur,Cabbage,154,71,103,6.6,706,21,74,62.52,3840.0,240076.8
1507,2025-01-20,Villupuram,Apple,136,75,125,6.7,939,26,67,163.08,11490.0,1873789.2
1508,2025-02-06,Kallakurichi,Groundnut,83,58,63,7.5,851,26,64,21.03,1460.0,30703.8
1509,2025-01-06,Virdhunagar,Groundnut,58,38,80,6.8,540,23,51,156.48,1120.0,175257.6
1510,2025-01-27,Coimbatore,Lemon,99,76,80,6.9,1154,27,90,163.79,16270.0,2664863.3
1511,2025-02-15,Villupuram,Tomato,125,85,103,6.6,715,20,75,24.34,6260.0,152368.4
1512,2025-01-03,Palladam,Soybean,111,69,98,6.6,764,29,50,67.76,1620.0,109771.2
1513,2025-01-03,Villupuram,Peas,83,47,68,7.2,1068,21,57,147.49,8360.0,1233016.4
1514,2025-02-11,Cuddalore,Carrot,87,67,72,7.3,961,18,83,169.83,8690.0,1475822.7
1515,2025-01-12,Karur,Onion,102,61,87,7.4,873,24,79,189.36,19950.0,3777732.0
1516,2025-02-18,Kallakurichi,Apple,147,68,105,6.6,969,27,62,116.08,7670.0,890333.6
1517,2025-02-07,Thanjavur,Groundnut,50,41,54,7.2,689,22,77,53.2,1930.0,102676.0
1518,2025-02-16,Thoothukudi,Sugarcane,179,75,122,7.1,1731,31,51,63.44,86380.0,5479947.2
1519,2025-02-17,Sankagiri,Banana,181,108,122,6.7,1531,33,85,125.05,14340.0,1793217.0
1520,2025-02-04,Nagapattinam,Tomato,155,88,118,7.0,1055,24,51,101.7,5500.0,559350.0
1521,2025-01-18,Sivaganga,Soybean,121,52,93,6.8,826,27,57,18.04,1520.0,27420.8
1522,2025-01-04,Thanjavur,Lemon,106,76,71,7.3,1500,26,67,87.58,9660.0,846022.8
1523,2025-01-07,Kanyakumari,Cabbage,163,63,111,7.2,782,22,54,122.46,4650.0,569439.0
1524,2025-02-11,Tirunelveli,Maize,149,73,124,7.2,807,28,83,129.34,7600.0,982984.0
1525,2025-01-06,Ariyalur,Peas,129,42,73,7.4,901,21,81,167.7,7830.0,1313091.0
1526,2025-02-15,Dindigul,Brinjal,102,57,81,6.5,1252,26,76,142.33,12990.0,1848866.7
1527,2025-01-21,Pudukkottai,Wheat,128,55,100,6.9,622,22,54,165.21,5440.0,898742.4
1528,2025-01-13,Coimbatore,Sugarcane,162,93,146,6.9,1684,29,81,161.56,83460.0,13483797.6
1529,2025-01-03,Vellore,Cauliflower,116,63,100,6.3,1175,20,62,13.84,6020.0,83316.8
1530,2025-01-31,Coimbatore,Ginger,108,49,82,6.9,1374,31,57,162.34,7330.0,1189952.2
1531,2025-02-01,Theni,Brinjal,106,58,77,7.5,956,25,69,68.65,13780.0,945997.0
1532,2025-02-10,Ariyalur,Lemon,96,80,80,6.8,1466,30,65,155.68,11380.0,1771638.4
1533,2025-02-18,Thoothukudi,Apple,148,73,112,7.0,1290,26,86,39.0,7450.0,290550.0
1534,2025-02-18,Cuddalore,Peas,111,40,87,7.0,854,24,83,84.42,4260.0,359629.2
1535,2025-02-14,Cuddalore,Onion,105,80,68,7.0,786,20,82,96.85,9140.0,885209.0
1536,2025-01-20,Kanyakumari,Sugarcane,174,79,158,7.0,1995,29,58,169.94,57460.0,9764752.4
1537,2025-01-30,Kanchipuram,Peas,102,57,97,6.3,630,20,53,189.27,7550.0,1428988.5
1538,2025-02-12,Villupuram,Cauliflower,117,76,83,6.5,1097,23,62,158.4,4600.0,728640.0
1539,2025-01-14,Pudukkottai,Ginger,87,42,82,7.4,1221,33,50,28.45,4480.0,127456.0
1540,2025-02-04,Ramanathapuram,Banana,154,109,160,7.1,1327,29,84,102.11,26660.0,2722252.6
1541,2025-01-29,Tirupur,Tapioca,81,40,80,6.2,1390,30,86,55.54,11770.0,653705.8
1542,2025-02-01,Cuddalore,Onion,115,67,94,6.7,690,21,65,153.01,16940.0,2591989.4
1543,2025-02-11,Sankagiri,Cotton,85,55,96,7.4,730,26,64,128.41,2790.0,358263.9
1544,2025-01-07,Thanjavur,Chickpea,99,52,64,6.1,867,25,61,164.65,5110.0,841361.5
1545,2025-02-11,Vellore,Carrot,85,40,90,6.8,720,18,85,69.89,11840.0,827497.6
1546,2025-02-05,Tirupur,Mango,143,64,81,7.0,1100,30,88,85.88,15960.0,1370644.8
1547,2025-01-23,Kanyakumari,Ginger,108,40,87,6.5,1559,30,80,31.79,6070.0,192965.3
1548,2025-01-11,Salem,Cabbage,138,82,111,6.9,778,23,74,22.04,5890.0,129815.6
1549,2025-02-12,Chennai,Tapioca,114,52,100,6.4,1360,29,84,52.19,29520.0,1540648.8
1550,2025-01-13,Palladam,Chickpea,61,48,52,6.9,667,21,76,32.04,2370.0,75934.8
1551,2025-01-02,Karur,Soybean,93,57,60,7.5,657,27,80,118.58,2430.0,288149.4
1552,2025-02-08,Ooty,Cabbage,146,73,119,7.2,766,22,56,130.27,5090.0,663074.3
1553,2025-01-09,Karur,Sugarcane,152,80,154,6.9,1658,33,79,162.19,94210.0,15279919.9
1554,2025-01-04,Madurai,Maize,147,75,114,7.1,919,27,76,82.03,7450.0,611123.5
1555,2025-02-18,Nagapattinam,Soybean,107,57,75,7.0,832,24,73,18.09,1760.0,31838.4
1556,2025-01-29,Thoothukudi,Lemon,102,72,75,6.7,1157,25,79,183.32,11770.0,2157676.4
